ID,GATS1e,EEig08x,EEig07d,GGI6,R6v+,H-051,Y Exp.,Y-Pred,Seta
34,0.85,3.387,2.773,1.278,0.011,0,9.06,9.07,1
35,0.77,3.387,2.77,1.278,0.011,0,9.11,9.78,1
36,0.803,3.218,2.502,0.828,0.018,0,8.28,8.25,1
37,0.822,3.218,2.623,0.828,0.017,0,8.76,8.56,1
38,0.792,3.232,2.623,0.891,0.015,0,9.71,8.77,2
39,0.81,3.232,2.623,0.83,0.017,0,8.75,8.64,2
40,0.92,3.218,2.623,0.828,0.019,0,8.7,7.65,1
41,0.747,3.273,2.623,1.207,0.015,0,8.99,9.73,1
42,0.752,3.232,2.623,1.133,0.012,0,9.78,9.33,1
43,0.752,3.232,2.623,1.133,0.011,0,9.95,9.24,1
44,0.688,2.962,2.266,0.625,0.025,2,8.54,8.09,2
45,0.693,3.232,2.423,0.851,0.022,2,8.47,8.21,1
46,0.693,3.232,2.402,0.933,0.024,2,9.03,8.35,1
47,0.693,3.232,2.397,0.869,0.025,2,7.17,8.33,2
49,0.675,3.226,2.375,0.811,0.018,2,8.4,7.78,1
50,0.646,3.232,2.376,0.829,0.02,2,7.68,8.32,1
51,0.788,3.201,2.372,0.729,0.024,2,7.96,7.21,1
52,0.763,3.227,2.569,0.85,0.02,2,9.11,8.2,1
53,0.768,3.232,2.601,0.971,0.023,2,8.47,8.75,1
54,0.699,2.966,2.359,0.665,0.024,2,7.3,8.43,2
55,0.699,3.179,2.367,0.688,0.026,2,7.12,8.01,2
56,0.699,3.213,2.371,0.746,0.026,2,7.06,8.04,2
57,0.736,2.962,2.266,0.625,0.023,2,6.86,7.64,1
58,0.736,2.962,2.266,0.625,0.023,2,7.39,7.61,1
59,0.736,2.962,2.266,0.625,0.026,2,6.91,7.82,1
60,0.788,2.962,2.266,0.625,0.027,2,7.17,7.44,2
61,0.767,2.849,2.277,0.565,0.026,2,7.55,7.8,2
62,0.713,2.697,1.944,0.668,0.021,2,8.11,7.02,1
63,0.807,2.965,2.356,0.667,0.032,2,8.22,8.06,1
64,0.761,3.232,2.573,0.975,0.022,2,8.12,8.64,1
65,0.761,3.232,2.572,0.871,0.031,2,8.96,8.95,1
66,0.761,3.232,2.567,0.788,0.027,2,8.02,8.54,1
67,0.756,3.232,2.498,0.808,0.022,2,7.22,8.01,1
68,0.806,2.97,2.363,0.73,0.029,2,7.08,8.09,1
69,0.806,3.232,2.378,0.749,0.032,2,7.33,7.59,1
70,0.806,3.232,2.418,0.747,0.025,2,8.22,7.26,1
71,0.735,3.219,2.495,0.731,0.029,2,7.46,8.5,1
72,0.73,3.223,2.545,0.75,0.025,2,8.38,8.5,1
73,0.724,3.224,2.549,0.769,0.028,2,9.21,8.75,1
74,0.719,3.224,2.55,0.728,0.025,2,8.17,8.55,2
75,0.715,3.225,2.55,0.687,0.025,2,7.74,8.5,2
76,0.814,3.232,2.571,0.81,0.025,2,7.43,8.09,1
77,0.814,3.232,2.551,0.769,0.027,2,8.32,7.98,1
78,0.814,3.224,2.55,0.81,0.026,2,8.07,8.04,1
79,0.683,3.232,2.549,1.03,0.019,2,9.33,9.04,2
80,0.769,3.224,2.549,0.769,0.029,4,7.17,7.8,1
81,0.72,3.224,2.549,0.769,0.02,2,8.46,8.31,1
82,0.802,2.82,2.369,0.708,0.021,4,6.85,7.31,1
83,0.791,2.834,2.37,0.728,0.02,3,7.74,7.64,1
84,0.782,2.842,2.37,0.769,0.023,3,8.37,7.93,1
85,0.773,2.848,2.37,0.769,0.014,3,7.33,7.48,1
86,0.773,2.854,2.37,0.81,0.017,3,7.8,7.7,1
87,0.758,2.874,2.37,0.81,0.012,3,7.35,7.47,2
